"","#","N","a","b","cp","d","g","h","NT"
"326","ExpM_cond326","100","0","0","0.14","0.3","0","0.14","0"
"327","ExpM_cond327","100","0","0","0.14","0.3","0.14","0","0"
"328","ExpM_cond328","100","0","0","0.14","0.3","0.14","0.14","0"
"329","ExpM_cond329","100","0","0","0.14","0.5","0","0","0"
"330","ExpM_cond330","100","0","0","0.14","0.5","0","0.14","0"
"331","ExpM_cond331","100","0","0","0.14","0.5","0.14","0","0"
"332","ExpM_cond332","100","0","0","0.14","0.5","0.14","0.14","0"
"333","ExpM_cond333","100","0","0","0.14","0.8","0","0","0"
"334","ExpM_cond334","100","0","0","0.14","0.8","0","0.14","0"
"335","ExpM_cond335","100","0","0","0.14","0.8","0.14","0","0"
"336","ExpM_cond336","100","0","0","0.14","0.8","0.14","0.14","0"
"337","ExpM_cond337","100","0","0.14","0.14","0.3","0","0","0"
"338","ExpM_cond338","100","0","0.14","0.14","0.3","0","0.14","0"
"339","ExpM_cond339","100","0","0.14","0.14","0.3","0.14","0","0"
"340","ExpM_cond340","100","0","0.14","0.14","0.3","0.14","0.14","0"
"341","ExpM_cond341","100","0","0.14","0.14","0.5","0","0","0"
"342","ExpM_cond342","100","0","0.14","0.14","0.5","0","0.14","0"
"343","ExpM_cond343","100","0","0.14","0.14","0.5","0.14","0","0"
"344","ExpM_cond344","100","0","0.14","0.14","0.5","0.14","0.14","0"
"345","ExpM_cond345","100","0","0.14","0.14","0.8","0","0","0"
"346","ExpM_cond346","100","0","0.14","0.14","0.8","0","0.14","0"
"347","ExpM_cond347","100","0","0.14","0.14","0.8","0.14","0","0"
"348","ExpM_cond348","100","0","0.14","0.14","0.8","0.14","0.14","0"
"349","ExpM_cond349","100","0","0.39","0.14","0.3","0","0","0"
"350","ExpM_cond350","100","0","0.39","0.14","0.3","0","0.14","0"
"351","ExpM_cond351","100","0","0.39","0.14","0.3","0.14","0","0"
"352","ExpM_cond352","100","0","0.39","0.14","0.3","0.14","0.14","0"
"353","ExpM_cond353","100","0","0.39","0.14","0.5","0","0","0"
"354","ExpM_cond354","100","0","0.39","0.14","0.5","0","0.14","0"
"355","ExpM_cond355","100","0","0.39","0.14","0.5","0.14","0","0"
"356","ExpM_cond356","100","0","0.39","0.14","0.5","0.14","0.14","0"
"357","ExpM_cond357","100","0","0.39","0.14","0.8","0","0","0"
"358","ExpM_cond358","100","0","0.39","0.14","0.8","0","0.14","0"
"359","ExpM_cond359","100","0","0.39","0.14","0.8","0.14","0","0"
"360","ExpM_cond360","100","0","0.39","0.14","0.8","0.14","0.14","0"
"361","ExpM_cond361","100","0.14","0","0.14","0.3","0","0","0"
"362","ExpM_cond362","100","0.14","0","0.14","0.3","0","0.14","0"
"363","ExpM_cond363","100","0.14","0","0.14","0.3","0.14","0","0"
"364","ExpM_cond364","100","0.14","0","0.14","0.3","0.14","0.14","0"
"365","ExpM_cond365","100","0.14","0","0.14","0.5","0","0","0"
"366","ExpM_cond366","100","0.14","0","0.14","0.5","0","0.14","0"
"367","ExpM_cond367","100","0.14","0","0.14","0.5","0.14","0","0"
"368","ExpM_cond368","100","0.14","0","0.14","0.5","0.14","0.14","0"
"369","ExpM_cond369","100","0.14","0","0.14","0.8","0","0","0"
"370","ExpM_cond370","100","0.14","0","0.14","0.8","0","0.14","0"
"371","ExpM_cond371","100","0.14","0","0.14","0.8","0.14","0","0"
"372","ExpM_cond372","100","0.14","0","0.14","0.8","0.14","0.14","0"
"373","ExpM_cond373","100","0.14","0.14","0.14","0.3","0","0","0"
"374","ExpM_cond374","100","0.14","0.14","0.14","0.3","0","0.14","0"
"375","ExpM_cond375","100","0.14","0.14","0.14","0.3","0.14","0","0"
"376","ExpM_cond376","100","0.14","0.14","0.14","0.3","0.14","0.14","0"
"377","ExpM_cond377","100","0.14","0.14","0.14","0.5","0","0","0"
"378","ExpM_cond378","100","0.14","0.14","0.14","0.5","0","0.14","0"
"379","ExpM_cond379","100","0.14","0.14","0.14","0.5","0.14","0","0"
"380","ExpM_cond380","100","0.14","0.14","0.14","0.5","0.14","0.14","0"
"381","ExpM_cond381","100","0.14","0.14","0.14","0.8","0","0","0"
"382","ExpM_cond382","100","0.14","0.14","0.14","0.8","0","0.14","0"
"383","ExpM_cond383","100","0.14","0.14","0.14","0.8","0.14","0","0"
"384","ExpM_cond384","100","0.14","0.14","0.14","0.8","0.14","0.14","0"
"385","ExpM_cond385","100","0.14","0.39","0.14","0.3","0","0","0"
"386","ExpM_cond386","100","0.14","0.39","0.14","0.3","0","0.14","0"
"387","ExpM_cond387","100","0.14","0.39","0.14","0.3","0.14","0","0"
"388","ExpM_cond388","100","0.14","0.39","0.14","0.3","0.14","0.14","0"
"389","ExpM_cond389","100","0.14","0.39","0.14","0.5","0","0","0"
"390","ExpM_cond390","100","0.14","0.39","0.14","0.5","0","0.14","0"
"391","ExpM_cond391","100","0.14","0.39","0.14","0.5","0.14","0","0"
"392","ExpM_cond392","100","0.14","0.39","0.14","0.5","0.14","0.14","0"
"393","ExpM_cond393","100","0.14","0.39","0.14","0.8","0","0","0"
"394","ExpM_cond394","100","0.14","0.39","0.14","0.8","0","0.14","0"
"395","ExpM_cond395","100","0.14","0.39","0.14","0.8","0.14","0","0"
"396","ExpM_cond396","100","0.14","0.39","0.14","0.8","0.14","0.14","0"
"397","ExpM_cond397","100","0.39","0","0.14","0.3","0","0","0"
"398","ExpM_cond398","100","0.39","0","0.14","0.3","0","0.14","0"
"399","ExpM_cond399","100","0.39","0","0.14","0.3","0.14","0","0"
"400","ExpM_cond400","100","0.39","0","0.14","0.3","0.14","0.14","0"
"401","ExpM_cond401","100","0.39","0","0.14","0.5","0","0","0"
"402","ExpM_cond402","100","0.39","0","0.14","0.5","0","0.14","0"
"403","ExpM_cond403","100","0.39","0","0.14","0.5","0.14","0","0"
"404","ExpM_cond404","100","0.39","0","0.14","0.5","0.14","0.14","0"
"405","ExpM_cond405","100","0.39","0","0.14","0.8","0","0","0"
"406","ExpM_cond406","100","0.39","0","0.14","0.8","0","0.14","0"
"407","ExpM_cond407","100","0.39","0","0.14","0.8","0.14","0","0"
"408","ExpM_cond408","100","0.39","0","0.14","0.8","0.14","0.14","0"
"409","ExpM_cond409","100","0.39","0.14","0.14","0.3","0","0","0"
"410","ExpM_cond410","100","0.39","0.14","0.14","0.3","0","0.14","0"
"411","ExpM_cond411","100","0.39","0.14","0.14","0.3","0.14","0","0"
"412","ExpM_cond412","100","0.39","0.14","0.14","0.3","0.14","0.14","0"
"413","ExpM_cond413","100","0.39","0.14","0.14","0.5","0","0","0"
"414","ExpM_cond414","100","0.39","0.14","0.14","0.5","0","0.14","0"
"415","ExpM_cond415","100","0.39","0.14","0.14","0.5","0.14","0","0"
"416","ExpM_cond416","100","0.39","0.14","0.14","0.5","0.14","0.14","0"
"417","ExpM_cond417","100","0.39","0.14","0.14","0.8","0","0","0"
"418","ExpM_cond418","100","0.39","0.14","0.14","0.8","0","0.14","0"
"419","ExpM_cond419","100","0.39","0.14","0.14","0.8","0.14","0","0"
"420","ExpM_cond420","100","0.39","0.14","0.14","0.8","0.14","0.14","0"
"421","ExpM_cond421","100","0.39","0.39","0.14","0.3","0","0","0"
"422","ExpM_cond422","100","0.39","0.39","0.14","0.3","0","0.14","0"
"423","ExpM_cond423","100","0.39","0.39","0.14","0.3","0.14","0","0"
"424","ExpM_cond424","100","0.39","0.39","0.14","0.3","0.14","0.14","0"
"425","ExpM_cond425","100","0.39","0.39","0.14","0.5","0","0","0"
"426","ExpM_cond426","100","0.39","0.39","0.14","0.5","0","0.14","0"
"427","ExpM_cond427","100","0.39","0.39","0.14","0.5","0.14","0","0"
"428","ExpM_cond428","100","0.39","0.39","0.14","0.5","0.14","0.14","0"
"429","ExpM_cond429","100","0.39","0.39","0.14","0.8","0","0","0"
"430","ExpM_cond430","100","0.39","0.39","0.14","0.8","0","0.14","0"
"431","ExpM_cond431","100","0.39","0.39","0.14","0.8","0.14","0","0"
"432","ExpM_cond432","100","0.39","0.39","0.14","0.8","0.14","0.14","0"
"433","ExpM_cond433","200","0","0","0.14","0.3","0","0","0"
"434","ExpM_cond434","200","0","0","0.14","0.3","0","0.14","0"
"435","ExpM_cond435","200","0","0","0.14","0.3","0.14","0","0"
"436","ExpM_cond436","200","0","0","0.14","0.3","0.14","0.14","0"
"437","ExpM_cond437","200","0","0","0.14","0.5","0","0","0"
"438","ExpM_cond438","200","0","0","0.14","0.5","0","0.14","0"
"439","ExpM_cond439","200","0","0","0.14","0.5","0.14","0","0"
"440","ExpM_cond440","200","0","0","0.14","0.5","0.14","0.14","0"
"441","ExpM_cond441","200","0","0","0.14","0.8","0","0","0"
"442","ExpM_cond442","200","0","0","0.14","0.8","0","0.14","0"
"443","ExpM_cond443","200","0","0","0.14","0.8","0.14","0","0"
"444","ExpM_cond444","200","0","0","0.14","0.8","0.14","0.14","0"
"445","ExpM_cond445","200","0","0.14","0.14","0.3","0","0","0"
"446","ExpM_cond446","200","0","0.14","0.14","0.3","0","0.14","0"
"447","ExpM_cond447","200","0","0.14","0.14","0.3","0.14","0","0"
"448","ExpM_cond448","200","0","0.14","0.14","0.3","0.14","0.14","0"
"449","ExpM_cond449","200","0","0.14","0.14","0.5","0","0","0"
"450","ExpM_cond450","200","0","0.14","0.14","0.5","0","0.14","0"
"451","ExpM_cond451","200","0","0.14","0.14","0.5","0.14","0","0"
"452","ExpM_cond452","200","0","0.14","0.14","0.5","0.14","0.14","0"
"453","ExpM_cond453","200","0","0.14","0.14","0.8","0","0","0"
"454","ExpM_cond454","200","0","0.14","0.14","0.8","0","0.14","0"
"455","ExpM_cond455","200","0","0.14","0.14","0.8","0.14","0","0"
"456","ExpM_cond456","200","0","0.14","0.14","0.8","0.14","0.14","0"
"457","ExpM_cond457","200","0","0.39","0.14","0.3","0","0","0"
"458","ExpM_cond458","200","0","0.39","0.14","0.3","0","0.14","0"
"459","ExpM_cond459","200","0","0.39","0.14","0.3","0.14","0","0"
"460","ExpM_cond460","200","0","0.39","0.14","0.3","0.14","0.14","0"
"461","ExpM_cond461","200","0","0.39","0.14","0.5","0","0","0"
"462","ExpM_cond462","200","0","0.39","0.14","0.5","0","0.14","0"
"463","ExpM_cond463","200","0","0.39","0.14","0.5","0.14","0","0"
"464","ExpM_cond464","200","0","0.39","0.14","0.5","0.14","0.14","0"
"465","ExpM_cond465","200","0","0.39","0.14","0.8","0","0","0"
"466","ExpM_cond466","200","0","0.39","0.14","0.8","0","0.14","0"
"467","ExpM_cond467","200","0","0.39","0.14","0.8","0.14","0","0"
"468","ExpM_cond468","200","0","0.39","0.14","0.8","0.14","0.14","0"
"469","ExpM_cond469","200","0.14","0","0.14","0.3","0","0","0"
"470","ExpM_cond470","200","0.14","0","0.14","0.3","0","0.14","0"
"471","ExpM_cond471","200","0.14","0","0.14","0.3","0.14","0","0"
"472","ExpM_cond472","200","0.14","0","0.14","0.3","0.14","0.14","0"
"473","ExpM_cond473","200","0.14","0","0.14","0.5","0","0","0"
"474","ExpM_cond474","200","0.14","0","0.14","0.5","0","0.14","0"
"475","ExpM_cond475","200","0.14","0","0.14","0.5","0.14","0","0"
"476","ExpM_cond476","200","0.14","0","0.14","0.5","0.14","0.14","0"
"477","ExpM_cond477","200","0.14","0","0.14","0.8","0","0","0"
"478","ExpM_cond478","200","0.14","0","0.14","0.8","0","0.14","0"
"479","ExpM_cond479","200","0.14","0","0.14","0.8","0.14","0","0"
"480","ExpM_cond480","200","0.14","0","0.14","0.8","0.14","0.14","0"
"481","ExpM_cond481","200","0.14","0.14","0.14","0.3","0","0","0"
"482","ExpM_cond482","200","0.14","0.14","0.14","0.3","0","0.14","0"
"483","ExpM_cond483","200","0.14","0.14","0.14","0.3","0.14","0","0"
"484","ExpM_cond484","200","0.14","0.14","0.14","0.3","0.14","0.14","0"
"485","ExpM_cond485","200","0.14","0.14","0.14","0.5","0","0","0"
"486","ExpM_cond486","200","0.14","0.14","0.14","0.5","0","0.14","0"
"487","ExpM_cond487","200","0.14","0.14","0.14","0.5","0.14","0","0"
"488","ExpM_cond488","200","0.14","0.14","0.14","0.5","0.14","0.14","0"
"489","ExpM_cond489","200","0.14","0.14","0.14","0.8","0","0","0"
"490","ExpM_cond490","200","0.14","0.14","0.14","0.8","0","0.14","0"
"491","ExpM_cond491","200","0.14","0.14","0.14","0.8","0.14","0","0"
"492","ExpM_cond492","200","0.14","0.14","0.14","0.8","0.14","0.14","0"
"493","ExpM_cond493","200","0.14","0.39","0.14","0.3","0","0","0"
"494","ExpM_cond494","200","0.14","0.39","0.14","0.3","0","0.14","0"
"495","ExpM_cond495","200","0.14","0.39","0.14","0.3","0.14","0","0"
"496","ExpM_cond496","200","0.14","0.39","0.14","0.3","0.14","0.14","0"
"497","ExpM_cond497","200","0.14","0.39","0.14","0.5","0","0","0"
"498","ExpM_cond498","200","0.14","0.39","0.14","0.5","0","0.14","0"
"499","ExpM_cond499","200","0.14","0.39","0.14","0.5","0.14","0","0"
"500","ExpM_cond500","200","0.14","0.39","0.14","0.5","0.14","0.14","0"
"501","ExpM_cond501","200","0.14","0.39","0.14","0.8","0","0","0"
"502","ExpM_cond502","200","0.14","0.39","0.14","0.8","0","0.14","0"
"503","ExpM_cond503","200","0.14","0.39","0.14","0.8","0.14","0","0"
"504","ExpM_cond504","200","0.14","0.39","0.14","0.8","0.14","0.14","0"
"505","ExpM_cond505","200","0.39","0","0.14","0.3","0","0","0"
"506","ExpM_cond506","200","0.39","0","0.14","0.3","0","0.14","0"
"507","ExpM_cond507","200","0.39","0","0.14","0.3","0.14","0","0"
"508","ExpM_cond508","200","0.39","0","0.14","0.3","0.14","0.14","0"
"509","ExpM_cond509","200","0.39","0","0.14","0.5","0","0","0"
"510","ExpM_cond510","200","0.39","0","0.14","0.5","0","0.14","0"
"511","ExpM_cond511","200","0.39","0","0.14","0.5","0.14","0","0"
"512","ExpM_cond512","200","0.39","0","0.14","0.5","0.14","0.14","0"
"513","ExpM_cond513","200","0.39","0","0.14","0.8","0","0","0"
"514","ExpM_cond514","200","0.39","0","0.14","0.8","0","0.14","0"
"515","ExpM_cond515","200","0.39","0","0.14","0.8","0.14","0","0"
"516","ExpM_cond516","200","0.39","0","0.14","0.8","0.14","0.14","0"
"517","ExpM_cond517","200","0.39","0.14","0.14","0.3","0","0","0"
"518","ExpM_cond518","200","0.39","0.14","0.14","0.3","0","0.14","0"
"519","ExpM_cond519","200","0.39","0.14","0.14","0.3","0.14","0","0"
"520","ExpM_cond520","200","0.39","0.14","0.14","0.3","0.14","0.14","0"
"521","ExpM_cond521","200","0.39","0.14","0.14","0.5","0","0","0"
"522","ExpM_cond522","200","0.39","0.14","0.14","0.5","0","0.14","0"
"523","ExpM_cond523","200","0.39","0.14","0.14","0.5","0.14","0","0"
"524","ExpM_cond524","200","0.39","0.14","0.14","0.5","0.14","0.14","0"
"525","ExpM_cond525","200","0.39","0.14","0.14","0.8","0","0","0"
"526","ExpM_cond526","200","0.39","0.14","0.14","0.8","0","0.14","0"
"527","ExpM_cond527","200","0.39","0.14","0.14","0.8","0.14","0","0"
"528","ExpM_cond528","200","0.39","0.14","0.14","0.8","0.14","0.14","0"
"529","ExpM_cond529","200","0.39","0.39","0.14","0.3","0","0","0"
"530","ExpM_cond530","200","0.39","0.39","0.14","0.3","0","0.14","0"
"531","ExpM_cond531","200","0.39","0.39","0.14","0.3","0.14","0","0"
"532","ExpM_cond532","200","0.39","0.39","0.14","0.3","0.14","0.14","0"
"533","ExpM_cond533","200","0.39","0.39","0.14","0.5","0","0","0"
"534","ExpM_cond534","200","0.39","0.39","0.14","0.5","0","0.14","0"
"535","ExpM_cond535","200","0.39","0.39","0.14","0.5","0.14","0","0"
"536","ExpM_cond536","200","0.39","0.39","0.14","0.5","0.14","0.14","0"
"537","ExpM_cond537","200","0.39","0.39","0.14","0.8","0","0","0"
"538","ExpM_cond538","200","0.39","0.39","0.14","0.8","0","0.14","0"
"539","ExpM_cond539","200","0.39","0.39","0.14","0.8","0.14","0","0"
"540","ExpM_cond540","200","0.39","0.39","0.14","0.8","0.14","0.14","0"
"541","ExpM_cond541","500","0","0","0.14","0.3","0","0","0"
"542","ExpM_cond542","500","0","0","0.14","0.3","0","0.14","0"
"543","ExpM_cond543","500","0","0","0.14","0.3","0.14","0","0"
"544","ExpM_cond544","500","0","0","0.14","0.3","0.14","0.14","0"
"545","ExpM_cond545","500","0","0","0.14","0.5","0","0","0"
"546","ExpM_cond546","500","0","0","0.14","0.5","0","0.14","0"
"547","ExpM_cond547","500","0","0","0.14","0.5","0.14","0","0"
"548","ExpM_cond548","500","0","0","0.14","0.5","0.14","0.14","0"
"549","ExpM_cond549","500","0","0","0.14","0.8","0","0","0"
"550","ExpM_cond550","500","0","0","0.14","0.8","0","0.14","0"
"551","ExpM_cond551","500","0","0","0.14","0.8","0.14","0","0"
"552","ExpM_cond552","500","0","0","0.14","0.8","0.14","0.14","0"
"553","ExpM_cond553","500","0","0.14","0.14","0.3","0","0","0"
"554","ExpM_cond554","500","0","0.14","0.14","0.3","0","0.14","0"
"555","ExpM_cond555","500","0","0.14","0.14","0.3","0.14","0","0"
"556","ExpM_cond556","500","0","0.14","0.14","0.3","0.14","0.14","0"
"557","ExpM_cond557","500","0","0.14","0.14","0.5","0","0","0"
"558","ExpM_cond558","500","0","0.14","0.14","0.5","0","0.14","0"
"559","ExpM_cond559","500","0","0.14","0.14","0.5","0.14","0","0"
"560","ExpM_cond560","500","0","0.14","0.14","0.5","0.14","0.14","0"
"561","ExpM_cond561","500","0","0.14","0.14","0.8","0","0","0"
"562","ExpM_cond562","500","0","0.14","0.14","0.8","0","0.14","0"
"563","ExpM_cond563","500","0","0.14","0.14","0.8","0.14","0","0"
"564","ExpM_cond564","500","0","0.14","0.14","0.8","0.14","0.14","0"
"565","ExpM_cond565","500","0","0.39","0.14","0.3","0","0","0"
"566","ExpM_cond566","500","0","0.39","0.14","0.3","0","0.14","0"
"567","ExpM_cond567","500","0","0.39","0.14","0.3","0.14","0","0"
"568","ExpM_cond568","500","0","0.39","0.14","0.3","0.14","0.14","0"
"569","ExpM_cond569","500","0","0.39","0.14","0.5","0","0","0"
"570","ExpM_cond570","500","0","0.39","0.14","0.5","0","0.14","0"
"571","ExpM_cond571","500","0","0.39","0.14","0.5","0.14","0","0"
"572","ExpM_cond572","500","0","0.39","0.14","0.5","0.14","0.14","0"
"573","ExpM_cond573","500","0","0.39","0.14","0.8","0","0","0"
"574","ExpM_cond574","500","0","0.39","0.14","0.8","0","0.14","0"
"575","ExpM_cond575","500","0","0.39","0.14","0.8","0.14","0","0"
"576","ExpM_cond576","500","0","0.39","0.14","0.8","0.14","0.14","0"
"577","ExpM_cond577","500","0.14","0","0.14","0.3","0","0","0"
"578","ExpM_cond578","500","0.14","0","0.14","0.3","0","0.14","0"
"579","ExpM_cond579","500","0.14","0","0.14","0.3","0.14","0","0"
"580","ExpM_cond580","500","0.14","0","0.14","0.3","0.14","0.14","0"
"581","ExpM_cond581","500","0.14","0","0.14","0.5","0","0","0"
"582","ExpM_cond582","500","0.14","0","0.14","0.5","0","0.14","0"
"583","ExpM_cond583","500","0.14","0","0.14","0.5","0.14","0","0"
"584","ExpM_cond584","500","0.14","0","0.14","0.5","0.14","0.14","0"
"585","ExpM_cond585","500","0.14","0","0.14","0.8","0","0","0"
"586","ExpM_cond586","500","0.14","0","0.14","0.8","0","0.14","0"
"587","ExpM_cond587","500","0.14","0","0.14","0.8","0.14","0","0"
"588","ExpM_cond588","500","0.14","0","0.14","0.8","0.14","0.14","0"
"589","ExpM_cond589","500","0.14","0.14","0.14","0.3","0","0","0"
"590","ExpM_cond590","500","0.14","0.14","0.14","0.3","0","0.14","0"
"591","ExpM_cond591","500","0.14","0.14","0.14","0.3","0.14","0","0"
"592","ExpM_cond592","500","0.14","0.14","0.14","0.3","0.14","0.14","0"
"593","ExpM_cond593","500","0.14","0.14","0.14","0.5","0","0","0"
"594","ExpM_cond594","500","0.14","0.14","0.14","0.5","0","0.14","0"
"595","ExpM_cond595","500","0.14","0.14","0.14","0.5","0.14","0","0"
"596","ExpM_cond596","500","0.14","0.14","0.14","0.5","0.14","0.14","0"
"597","ExpM_cond597","500","0.14","0.14","0.14","0.8","0","0","0"
"598","ExpM_cond598","500","0.14","0.14","0.14","0.8","0","0.14","0"
"599","ExpM_cond599","500","0.14","0.14","0.14","0.8","0.14","0","0"
"600","ExpM_cond600","500","0.14","0.14","0.14","0.8","0.14","0.14","0"
"601","ExpM_cond601","500","0.14","0.39","0.14","0.3","0","0","0"
"602","ExpM_cond602","500","0.14","0.39","0.14","0.3","0","0.14","0"
"603","ExpM_cond603","500","0.14","0.39","0.14","0.3","0.14","0","0"
"604","ExpM_cond604","500","0.14","0.39","0.14","0.3","0.14","0.14","0"
"605","ExpM_cond605","500","0.14","0.39","0.14","0.5","0","0","0"
"606","ExpM_cond606","500","0.14","0.39","0.14","0.5","0","0.14","0"
"607","ExpM_cond607","500","0.14","0.39","0.14","0.5","0.14","0","0"
"608","ExpM_cond608","500","0.14","0.39","0.14","0.5","0.14","0.14","0"
"609","ExpM_cond609","500","0.14","0.39","0.14","0.8","0","0","0"
"610","ExpM_cond610","500","0.14","0.39","0.14","0.8","0","0.14","0"
"611","ExpM_cond611","500","0.14","0.39","0.14","0.8","0.14","0","0"
"612","ExpM_cond612","500","0.14","0.39","0.14","0.8","0.14","0.14","0"
"613","ExpM_cond613","500","0.39","0","0.14","0.3","0","0","0"
"614","ExpM_cond614","500","0.39","0","0.14","0.3","0","0.14","0"
"615","ExpM_cond615","500","0.39","0","0.14","0.3","0.14","0","0"
"616","ExpM_cond616","500","0.39","0","0.14","0.3","0.14","0.14","0"
"617","ExpM_cond617","500","0.39","0","0.14","0.5","0","0","0"
"618","ExpM_cond618","500","0.39","0","0.14","0.5","0","0.14","0"
"619","ExpM_cond619","500","0.39","0","0.14","0.5","0.14","0","0"
"620","ExpM_cond620","500","0.39","0","0.14","0.5","0.14","0.14","0"
"621","ExpM_cond621","500","0.39","0","0.14","0.8","0","0","0"
"622","ExpM_cond622","500","0.39","0","0.14","0.8","0","0.14","0"
"623","ExpM_cond623","500","0.39","0","0.14","0.8","0.14","0","0"
"624","ExpM_cond624","500","0.39","0","0.14","0.8","0.14","0.14","0"
"625","ExpM_cond625","500","0.39","0.14","0.14","0.3","0","0","0"
"626","ExpM_cond626","500","0.39","0.14","0.14","0.3","0","0.14","0"
"627","ExpM_cond627","500","0.39","0.14","0.14","0.3","0.14","0","0"
"628","ExpM_cond628","500","0.39","0.14","0.14","0.3","0.14","0.14","0"
"629","ExpM_cond629","500","0.39","0.14","0.14","0.5","0","0","0"
"630","ExpM_cond630","500","0.39","0.14","0.14","0.5","0","0.14","0"
"631","ExpM_cond631","500","0.39","0.14","0.14","0.5","0.14","0","0"
"632","ExpM_cond632","500","0.39","0.14","0.14","0.5","0.14","0.14","0"
"633","ExpM_cond633","500","0.39","0.14","0.14","0.8","0","0","0"
"634","ExpM_cond634","500","0.39","0.14","0.14","0.8","0","0.14","0"
"635","ExpM_cond635","500","0.39","0.14","0.14","0.8","0.14","0","0"
"636","ExpM_cond636","500","0.39","0.14","0.14","0.8","0.14","0.14","0"
"637","ExpM_cond637","500","0.39","0.39","0.14","0.3","0","0","0"
"638","ExpM_cond638","500","0.39","0.39","0.14","0.3","0","0.14","0"
"639","ExpM_cond639","500","0.39","0.39","0.14","0.3","0.14","0","0"
"640","ExpM_cond640","500","0.39","0.39","0.14","0.3","0.14","0.14","0"
"641","ExpM_cond641","500","0.39","0.39","0.14","0.5","0","0","0"
"642","ExpM_cond642","500","0.39","0.39","0.14","0.5","0","0.14","0"
"643","ExpM_cond643","500","0.39","0.39","0.14","0.5","0.14","0","0"
"644","ExpM_cond644","500","0.39","0.39","0.14","0.5","0.14","0.14","0"
"645","ExpM_cond645","500","0.39","0.39","0.14","0.8","0","0","0"
"646","ExpM_cond646","500","0.39","0.39","0.14","0.8","0","0.14","0"
"647","ExpM_cond647","500","0.39","0.39","0.14","0.8","0.14","0","0"
"648","ExpM_cond648","500","0.39","0.39","0.14","0.8","0.14","0.14","0"
